latitude;longitude
54.545401;17.765765
54.545560;17.766063
54.545440;17.766049
54.545528;17.765932
54.545775;17.766044
54.545833;17.766047
54.545882;17.765889
54.545935;17.766043
54.546027;17.766047
54.546106;17.766142
54.546053;17.766001
54.545952;17.765970
54.546095;17.766011
54.546149;17.766220
54.546146;17.766431
54.546229;17.766547
54.546323;17.766550
54.546435;17.766506
54.546549;17.766481
54.546662;17.766415
54.546746;17.766215
54.546807;17.766099
54.546918;17.766070
54.546875;17.765883
54.546903;17.766038
54.546740;17.765813
54.546660;17.765967
54.546880;17.765661
54.546855;17.766185
54.546895;17.766354
54.546923;17.766206
54.546941;17.766016
54.546841;17.766064
54.546733;17.766040
54.546701;17.765885
54.546696;17.765714
54.546701;17.765463
54.546690;17.765292
54.546680;17.765108
54.546668;17.764897
54.546664;17.764702
54.546661;17.764492
54.546675;17.764258
54.546671;17.763997
54.546658;17.763722
54.546650;17.763465
54.546638;17.763212
54.546629;17.762962
54.546615;17.762702
54.546600;17.762450
54.546590;17.762189
54.546582;17.761929
54.546557;17.761666
54.546538;17.761403
54.546509;17.761145
54.546499;17.760872
54.546488;17.760640
54.546472;17.760408
54.546464;17.760156
54.546451;17.759891
54.546438;17.759615
54.546425;17.759361
54.546437;17.759131
54.546432;17.758893
54.546421;17.758643
54.546405;17.758371
54.546386;17.758125
54.546357;17.757853
54.546325;17.757583
54.546290;17.757348
54.546246;17.757100
54.546197;17.756869
54.546146;17.756655
54.546100;17.756471
54.546019;17.756256
54.545953;17.756019
54.545889;17.755805
54.545833;17.755606
54.545754;17.755392
54.545665;17.755256
54.545538;17.755114
54.545411;17.755038
54.545270;17.755030
54.545145;17.754991
54.545022;17.754990
54.544897;17.754987
54.544788;17.754983
54.544697;17.754987
54.544545;17.754983
54.544451;17.754983
54.544340;17.754918
54.544304;17.754749
54.544301;17.754508
54.544303;17.754299
54.544333;17.754098
54.544319;17.753926
54.544203;17.753956
54.544095;17.753866
54.543997;17.753783
54.543961;17.753597
54.543901;17.753462
54.543867;17.753282
54.543789;17.753108
54.543735;17.752912
54.543684;17.752701
54.543651;17.752523
54.543688;17.752339
54.543764;17.752225
54.543845;17.752092
54.543932;17.751949
54.544031;17.751794
54.544134;17.751682
54.544222;17.751570
54.544309;17.751451
54.544386;17.751347
54.544456;17.751180
54.544357;17.751026
54.544286;17.750835
54.544191;17.750636
54.544099;17.750456
54.544043;17.750333
54.543972;17.750502
54.543898;17.750619
54.543831;17.750725
54.543890;17.750600
54.543758;17.750824
54.543683;17.750616
54.543603;17.750375
54.543582;17.750448
54.543656;17.750594
54.543566;17.750567
54.543761;17.750616
54.543768;17.750682
54.543671;17.750863
54.543597;17.750980
54.543587;17.751143
54.543644;17.751300
54.543703;17.751454
54.543768;17.751595
54.543830;17.751713
54.543876;17.751867
54.543963;17.751927
54.544043;17.751843
54.544105;17.751712
54.544204;17.751602
54.544293;17.751511
54.544379;17.751425
54.544457;17.751274
54.544447;17.751066
54.544378;17.750928
54.544294;17.750737
54.544220;17.750561
54.544111;17.750404
54.544041;17.750264
54.543987;17.750123
54.543926;17.749978
54.543846;17.749790
54.543777;17.749623
54.543727;17.749476
54.543677;17.749342
54.543622;17.749194
54.543532;17.749022
54.543471;17.748817
54.543382;17.748606
54.543263;17.748451
54.543189;17.748298
54.543111;17.748134
54.543043;17.747982
54.542973;17.747794
54.542916;17.747661
54.542807;17.747403
54.542707;17.747194
54.542625;17.746978
54.542540;17.746771
54.542462;17.746524
54.542377;17.746309
54.542290;17.746112
54.542213;17.745942
54.542137;17.745778
54.542070;17.745628
54.542004;17.745486
54.541942;17.745340
54.541877;17.745191
54.541829;17.745057
54.541799;17.744846
54.542052;17.744741
54.542133;17.744639
